paper_id,doi,title,field,coded_value,source_quotation,source_location
W001,10.1145/3242969.3242985,"Introducing WESAD, a Multimodal Dataset for Wearable Stress and Affect Detection",window_seconds,60,"[Dataset] ""The remaining 15 subjects had a mean age of 27.5 ± 2.4 years."" [Protocol] ""The goal of the study was to elicit three different affective states (neutral, stress, amusement) in the participants."" ""All features (except for statistical- and frequency-domain EMG-features, see below) based on physiological signals were computed with a window size of 60 seconds."" ""Segmentation of the (preprocessed) sensor signals was done using a sliding window, with a window shift of 0.25 seconds."" [Evaluation] ""All models were evaluated using the leave-one-subject-out (LOSO) cross-validation (CV) procedure."" [Results] ""80.34 % (three-class problem, using all chest-based physiological modalities, AB classifier)""","Dataset/Methods §§3.3, 4.1, 4.3; Results §5"
W001,10.1145/3242969.3242985,"Introducing WESAD, a Multimodal Dataset for Wearable Stress and Affect Detection",hop_seconds,0.25,"[Dataset] ""The remaining 15 subjects had a mean age of 27.5 ± 2.4 years."" [Protocol] ""The goal of the study was to elicit three different affective states (neutral, stress, amusement) in the participants."" ""All features (except for statistical- and frequency-domain EMG-features, see below) based on physiological signals were computed with a window size of 60 seconds."" ""Segmentation of the (preprocessed) sensor signals was done using a sliding window, with a window shift of 0.25 seconds."" [Evaluation] ""All models were evaluated using the leave-one-subject-out (LOSO) cross-validation (CV) procedure."" [Results] ""80.34 % (three-class problem, using all chest-based physiological modalities, AB classifier)""","Dataset/Methods §§3.3, 4.1, 4.3; Results §5"
W001,10.1145/3242969.3242985,"Introducing WESAD, a Multimodal Dataset for Wearable Stress and Affect Detection",split_type,loso,"[Dataset] ""The remaining 15 subjects had a mean age of 27.5 ± 2.4 years."" [Protocol] ""The goal of the study was to elicit three different affective states (neutral, stress, amusement) in the participants."" ""All features (except for statistical- and frequency-domain EMG-features, see below) based on physiological signals were computed with a window size of 60 seconds."" ""Segmentation of the (preprocessed) sensor signals was done using a sliding window, with a window shift of 0.25 seconds."" [Evaluation] ""All models were evaluated using the leave-one-subject-out (LOSO) cross-validation (CV) procedure."" [Results] ""80.34 % (three-class problem, using all chest-based physiological modalities, AB classifier)""","Dataset/Methods §§3.3, 4.1, 4.3; Results §5"
W002,10.1109/icirca48905.2020.9183244,Stress Detection with Machine Learning and Deep Learning using Multimodal Physiological Data,window_seconds,1,"[hop_seconds] ""A sliding window having a shift of 1 second was used for segmenting all sensor signals.""; [window_seconds] ""for a window of 1 second.""; [split_type,metric_aggregation] ""Therefore, the leave-one-subject-out (LOSO) cross-validation procedure was used for evaluation of all the models, and the ﬁnal accuracy is reported as the mean of all the testing accuracies when one subject is left for testing in LOSO cross-validation and trained on all other subjects.""; [n_subjects_used,sensor_location] ""This multimodal dataset is the collection of motion data and physiological fea- tures of 15 subjects from both a chest-worn device RespiBAN Professional and a wrist-worn device Empatica E4.""; [feature_type,modalities] ""Different modalities from the WESAD dataset were used for feature extraction and these features are displayed in Table I. These features are the subset of features described in [1]. Various statistical features, e.g., the standard deviation, mean, minimum, and maximum value, were computed on the raw ACC signal, for each axis separately (i ∈x,y,z) along with summing up for all axes (3D) as absolute magnitudes. On raw ECG, BVP, RESP, and TEMP signals statistical features like the mean, standard deviation, minimum, and maximum value were computed. Besides, the peak frequency of BVP TABLE II LIST OF EXTRACTED FEATURES FROM WESAD DATASET. Modality Features Description ACC µACC,i, σACC,i minACC,i, maxACC,i i ∈{x, y, z, 3D} Mean, standard deviation, minimum and maximum value for each axis separately and summed over all axes ECG µECG, σECG minECG, maxECG Mean, standard deviation, minimum and maximum value of the ECG BVP µBV P , σBV P minBV P , maxBV P , f peak BV P Mean, standard deviation, minimum, maximum and peak frequency of the BVP EDA µi, σi, mini, maxi i ∈{EDA, phasic, tonic, smna} Mean, standard deviation, minimum, maximum value of the EDA signal, SCR/SCL and sparse SMNA driver of phasic component EMG µEMG, σEMG minEMG, maxEMG, f peak EMG Mean, standard deviation, minimum, maximum and peak frequency of the EMG RESP µRESP , σRESP minRESP , maxRESP Mean, standard deviation, minimum and maximum value of the RESP TEMP µT EMP , σT EMP minT EMP , maxT EMP , δT EMP Mean, standard deviation, minimum, maximum and slope of the TEMP and slope of the signal δT EMP are used as features. The raw EDA signal was passed through a low pass ﬁlter with an order of 5 Hz, and then statistical features like standard deviation, mean, minimum, and maximum value were computed [1].""; [model_family,task_n_classes,class_definition] ""Six machine learning (Random Forest, Decision Tree, Ad- aBoost, k-Nearest Neighbour, Linear Discriminant Analysis and Kernel Support Vector Machine) and a deep learning artiﬁcial neural network (ANN) were used and their perfor- mance was compared. The extracted features, detailed above, are preprocessed according to suitability to the classiﬁcation algorithms. Two types of classiﬁcations are used-three class and binary classiﬁcation. Three class classiﬁcation is deﬁned as classifying an individual as amused, normal or stressed state, whereas, binary classiﬁcation is deﬁned as classifying an individual as either stressed or unstressed.""; [metric_name] ""F1-score (with macro averaging) and accuracy are used as evaluation metrics from sci-kit learn’s metrics.""",§III-A (PDF p. 4); §III-B (PDF p. 5); §III-B Preprocessings and Classification Algorithms (PDF p. 6)
W002,10.1109/icirca48905.2020.9183244,Stress Detection with Machine Learning and Deep Learning using Multimodal Physiological Data,hop_seconds,1,"[hop_seconds] ""A sliding window having a shift of 1 second was used for segmenting all sensor signals.""; [window_seconds] ""for a window of 1 second.""; [split_type,metric_aggregation] ""Therefore, the leave-one-subject-out (LOSO) cross-validation procedure was used for evaluation of all the models, and the ﬁnal accuracy is reported as the mean of all the testing accuracies when one subject is left for testing in LOSO cross-validation and trained on all other subjects.""; [n_subjects_used,sensor_location] ""This multimodal dataset is the collection of motion data and physiological fea- tures of 15 subjects from both a chest-worn device RespiBAN Professional and a wrist-worn device Empatica E4.""; [feature_type,modalities] ""Different modalities from the WESAD dataset were used for feature extraction and these features are displayed in Table I. These features are the subset of features described in [1]. Various statistical features, e.g., the standard deviation, mean, minimum, and maximum value, were computed on the raw ACC signal, for each axis separately (i ∈x,y,z) along with summing up for all axes (3D) as absolute magnitudes. On raw ECG, BVP, RESP, and TEMP signals statistical features like the mean, standard deviation, minimum, and maximum value were computed. Besides, the peak frequency of BVP TABLE II LIST OF EXTRACTED FEATURES FROM WESAD DATASET. Modality Features Description ACC µACC,i, σACC,i minACC,i, maxACC,i i ∈{x, y, z, 3D} Mean, standard deviation, minimum and maximum value for each axis separately and summed over all axes ECG µECG, σECG minECG, maxECG Mean, standard deviation, minimum and maximum value of the ECG BVP µBV P , σBV P minBV P , maxBV P , f peak BV P Mean, standard deviation, minimum, maximum and peak frequency of the BVP EDA µi, σi, mini, maxi i ∈{EDA, phasic, tonic, smna} Mean, standard deviation, minimum, maximum value of the EDA signal, SCR/SCL and sparse SMNA driver of phasic component EMG µEMG, σEMG minEMG, maxEMG, f peak EMG Mean, standard deviation, minimum, maximum and peak frequency of the EMG RESP µRESP , σRESP minRESP , maxRESP Mean, standard deviation, minimum and maximum value of the RESP TEMP µT EMP , σT EMP minT EMP , maxT EMP , δT EMP Mean, standard deviation, minimum, maximum and slope of the TEMP and slope of the signal δT EMP are used as features. The raw EDA signal was passed through a low pass ﬁlter with an order of 5 Hz, and then statistical features like standard deviation, mean, minimum, and maximum value were computed [1].""; [model_family,task_n_classes,class_definition] ""Six machine learning (Random Forest, Decision Tree, Ad- aBoost, k-Nearest Neighbour, Linear Discriminant Analysis and Kernel Support Vector Machine) and a deep learning artiﬁcial neural network (ANN) were used and their perfor- mance was compared. The extracted features, detailed above, are preprocessed according to suitability to the classiﬁcation algorithms. Two types of classiﬁcations are used-three class and binary classiﬁcation. Three class classiﬁcation is deﬁned as classifying an individual as amused, normal or stressed state, whereas, binary classiﬁcation is deﬁned as classifying an individual as either stressed or unstressed.""; [metric_name] ""F1-score (with macro averaging) and accuracy are used as evaluation metrics from sci-kit learn’s metrics.""",§III-A (PDF p. 4); §III-B (PDF p. 5); §III-B Preprocessings and Classification Algorithms (PDF p. 6)
W002,10.1109/icirca48905.2020.9183244,Stress Detection with Machine Learning and Deep Learning using Multimodal Physiological Data,split_type,loso,"[hop_seconds] ""A sliding window having a shift of 1 second was used for segmenting all sensor signals.""; [window_seconds] ""for a window of 1 second.""; [split_type,metric_aggregation] ""Therefore, the leave-one-subject-out (LOSO) cross-validation procedure was used for evaluation of all the models, and the ﬁnal accuracy is reported as the mean of all the testing accuracies when one subject is left for testing in LOSO cross-validation and trained on all other subjects.""; [n_subjects_used,sensor_location] ""This multimodal dataset is the collection of motion data and physiological fea- tures of 15 subjects from both a chest-worn device RespiBAN Professional and a wrist-worn device Empatica E4.""; [feature_type,modalities] ""Different modalities from the WESAD dataset were used for feature extraction and these features are displayed in Table I. These features are the subset of features described in [1]. Various statistical features, e.g., the standard deviation, mean, minimum, and maximum value, were computed on the raw ACC signal, for each axis separately (i ∈x,y,z) along with summing up for all axes (3D) as absolute magnitudes. On raw ECG, BVP, RESP, and TEMP signals statistical features like the mean, standard deviation, minimum, and maximum value were computed. Besides, the peak frequency of BVP TABLE II LIST OF EXTRACTED FEATURES FROM WESAD DATASET. Modality Features Description ACC µACC,i, σACC,i minACC,i, maxACC,i i ∈{x, y, z, 3D} Mean, standard deviation, minimum and maximum value for each axis separately and summed over all axes ECG µECG, σECG minECG, maxECG Mean, standard deviation, minimum and maximum value of the ECG BVP µBV P , σBV P minBV P , maxBV P , f peak BV P Mean, standard deviation, minimum, maximum and peak frequency of the BVP EDA µi, σi, mini, maxi i ∈{EDA, phasic, tonic, smna} Mean, standard deviation, minimum, maximum value of the EDA signal, SCR/SCL and sparse SMNA driver of phasic component EMG µEMG, σEMG minEMG, maxEMG, f peak EMG Mean, standard deviation, minimum, maximum and peak frequency of the EMG RESP µRESP , σRESP minRESP , maxRESP Mean, standard deviation, minimum and maximum value of the RESP TEMP µT EMP , σT EMP minT EMP , maxT EMP , δT EMP Mean, standard deviation, minimum, maximum and slope of the TEMP and slope of the signal δT EMP are used as features. The raw EDA signal was passed through a low pass ﬁlter with an order of 5 Hz, and then statistical features like standard deviation, mean, minimum, and maximum value were computed [1].""; [model_family,task_n_classes,class_definition] ""Six machine learning (Random Forest, Decision Tree, Ad- aBoost, k-Nearest Neighbour, Linear Discriminant Analysis and Kernel Support Vector Machine) and a deep learning artiﬁcial neural network (ANN) were used and their perfor- mance was compared. The extracted features, detailed above, are preprocessed according to suitability to the classiﬁcation algorithms. Two types of classiﬁcations are used-three class and binary classiﬁcation. Three class classiﬁcation is deﬁned as classifying an individual as amused, normal or stressed state, whereas, binary classiﬁcation is deﬁned as classifying an individual as either stressed or unstressed.""; [metric_name] ""F1-score (with macro averaging) and accuracy are used as evaluation metrics from sci-kit learn’s metrics.""",§III-A (PDF p. 4); §III-B (PDF p. 5); §III-B Preprocessings and Classification Algorithms (PDF p. 6)
W002,10.1109/icirca48905.2020.9183244,Stress Detection with Machine Learning and Deep Learning using Multimodal Physiological Data,metric_aggregation,mean across held-out subjects,"[hop_seconds] ""A sliding window having a shift of 1 second was used for segmenting all sensor signals.""; [window_seconds] ""for a window of 1 second.""; [split_type,metric_aggregation] ""Therefore, the leave-one-subject-out (LOSO) cross-validation procedure was used for evaluation of all the models, and the ﬁnal accuracy is reported as the mean of all the testing accuracies when one subject is left for testing in LOSO cross-validation and trained on all other subjects.""; [n_subjects_used,sensor_location] ""This multimodal dataset is the collection of motion data and physiological fea- tures of 15 subjects from both a chest-worn device RespiBAN Professional and a wrist-worn device Empatica E4.""; [feature_type,modalities] ""Different modalities from the WESAD dataset were used for feature extraction and these features are displayed in Table I. These features are the subset of features described in [1]. Various statistical features, e.g., the standard deviation, mean, minimum, and maximum value, were computed on the raw ACC signal, for each axis separately (i ∈x,y,z) along with summing up for all axes (3D) as absolute magnitudes. On raw ECG, BVP, RESP, and TEMP signals statistical features like the mean, standard deviation, minimum, and maximum value were computed. Besides, the peak frequency of BVP TABLE II LIST OF EXTRACTED FEATURES FROM WESAD DATASET. Modality Features Description ACC µACC,i, σACC,i minACC,i, maxACC,i i ∈{x, y, z, 3D} Mean, standard deviation, minimum and maximum value for each axis separately and summed over all axes ECG µECG, σECG minECG, maxECG Mean, standard deviation, minimum and maximum value of the ECG BVP µBV P , σBV P minBV P , maxBV P , f peak BV P Mean, standard deviation, minimum, maximum and peak frequency of the BVP EDA µi, σi, mini, maxi i ∈{EDA, phasic, tonic, smna} Mean, standard deviation, minimum, maximum value of the EDA signal, SCR/SCL and sparse SMNA driver of phasic component EMG µEMG, σEMG minEMG, maxEMG, f peak EMG Mean, standard deviation, minimum, maximum and peak frequency of the EMG RESP µRESP , σRESP minRESP , maxRESP Mean, standard deviation, minimum and maximum value of the RESP TEMP µT EMP , σT EMP minT EMP , maxT EMP , δT EMP Mean, standard deviation, minimum, maximum and slope of the TEMP and slope of the signal δT EMP are used as features. The raw EDA signal was passed through a low pass ﬁlter with an order of 5 Hz, and then statistical features like standard deviation, mean, minimum, and maximum value were computed [1].""; [model_family,task_n_classes,class_definition] ""Six machine learning (Random Forest, Decision Tree, Ad- aBoost, k-Nearest Neighbour, Linear Discriminant Analysis and Kernel Support Vector Machine) and a deep learning artiﬁcial neural network (ANN) were used and their perfor- mance was compared. The extracted features, detailed above, are preprocessed according to suitability to the classiﬁcation algorithms. Two types of classiﬁcations are used-three class and binary classiﬁcation. Three class classiﬁcation is deﬁned as classifying an individual as amused, normal or stressed state, whereas, binary classiﬁcation is deﬁned as classifying an individual as either stressed or unstressed.""; [metric_name] ""F1-score (with macro averaging) and accuracy are used as evaluation metrics from sci-kit learn’s metrics.""",§III-A (PDF p. 4); §III-B (PDF p. 5); §III-B Preprocessings and Classification Algorithms (PDF p. 6)
W003,10.1145/3397482.3450732,Stress Detection by Machine Learning and Wearable Sensors,window_seconds,10,"[window_seconds,window_overlap_pct] ""The preprocessed data was segmented using a sliding window algorithm with 10 seconds, without overlapping for all the sensor signals except ACC.""; [split_type,n_test_subjects] ""The feature dataset was further split into training and testing using leave-one-participant-out cross-validation, i.e., data from one participant was used for testing the model and the data from all remaining participants were used for training the model. After splitting""; [metric_aggregation] ""the final accuracy is reported as the mean of all the testing accuracies where one participant is left out for testing and others for training in each iteration.""; [n_subjects_used] ""This dataset is a collection of motion data and physiological data from 15 partici- pants.""; [sensor_location] ""Since the combination of features from both devices does not make much difference, the chest data has been further used in this work.""; [modalities,feature_type] ""The statistical features – standard deviation, mean, minimum, and maximum values – were computed for each 10-second window on raw ECG, EMG, EDA, RESP, and TEMP sig- nals.""; [model_family,task_n_classes,class_definition] ""Five machine learning algorithms (Random Forest, k-Nearest Neigh- bor, Linear Discriminant Analysis, AdaBoost and Support Vector Machine) were used and their performances were compared. Two types of classifications were performed: three-class (neutral vs. stress vs. amusement) and binary classification (stress vs. non- stress).""; [metric_name] ""Due to this imbalance in the dataset, accuracy is not chosen as the primary evaluation metric, whereas F1-score was used as the main eval- uation metric.""",§3.1 Data and Preprocessing (PDF p. 2); §3.2 Feature Extraction (PDF p. 2); §3.3 Classification (PDF p. 2); §3.4 Evaluation Metric (PDF p. 2)
W003,10.1145/3397482.3450732,Stress Detection by Machine Learning and Wearable Sensors,window_overlap_pct,0,"[window_seconds,window_overlap_pct] ""The preprocessed data was segmented using a sliding window algorithm with 10 seconds, without overlapping for all the sensor signals except ACC.""; [split_type,n_test_subjects] ""The feature dataset was further split into training and testing using leave-one-participant-out cross-validation, i.e., data from one participant was used for testing the model and the data from all remaining participants were used for training the model. After splitting""; [metric_aggregation] ""the final accuracy is reported as the mean of all the testing accuracies where one participant is left out for testing and others for training in each iteration.""; [n_subjects_used] ""This dataset is a collection of motion data and physiological data from 15 partici- pants.""; [sensor_location] ""Since the combination of features from both devices does not make much difference, the chest data has been further used in this work.""; [modalities,feature_type] ""The statistical features – standard deviation, mean, minimum, and maximum values – were computed for each 10-second window on raw ECG, EMG, EDA, RESP, and TEMP sig- nals.""; [model_family,task_n_classes,class_definition] ""Five machine learning algorithms (Random Forest, k-Nearest Neigh- bor, Linear Discriminant Analysis, AdaBoost and Support Vector Machine) were used and their performances were compared. Two types of classifications were performed: three-class (neutral vs. stress vs. amusement) and binary classification (stress vs. non- stress).""; [metric_name] ""Due to this imbalance in the dataset, accuracy is not chosen as the primary evaluation metric, whereas F1-score was used as the main eval- uation metric.""",§3.1 Data and Preprocessing (PDF p. 2); §3.2 Feature Extraction (PDF p. 2); §3.3 Classification (PDF p. 2); §3.4 Evaluation Metric (PDF p. 2)
W003,10.1145/3397482.3450732,Stress Detection by Machine Learning and Wearable Sensors,split_type,loso,"[window_seconds,window_overlap_pct] ""The preprocessed data was segmented using a sliding window algorithm with 10 seconds, without overlapping for all the sensor signals except ACC.""; [split_type,n_test_subjects] ""The feature dataset was further split into training and testing using leave-one-participant-out cross-validation, i.e., data from one participant was used for testing the model and the data from all remaining participants were used for training the model. After splitting""; [metric_aggregation] ""the final accuracy is reported as the mean of all the testing accuracies where one participant is left out for testing and others for training in each iteration.""; [n_subjects_used] ""This dataset is a collection of motion data and physiological data from 15 partici- pants.""; [sensor_location] ""Since the combination of features from both devices does not make much difference, the chest data has been further used in this work.""; [modalities,feature_type] ""The statistical features – standard deviation, mean, minimum, and maximum values – were computed for each 10-second window on raw ECG, EMG, EDA, RESP, and TEMP sig- nals.""; [model_family,task_n_classes,class_definition] ""Five machine learning algorithms (Random Forest, k-Nearest Neigh- bor, Linear Discriminant Analysis, AdaBoost and Support Vector Machine) were used and their performances were compared. Two types of classifications were performed: three-class (neutral vs. stress vs. amusement) and binary classification (stress vs. non- stress).""; [metric_name] ""Due to this imbalance in the dataset, accuracy is not chosen as the primary evaluation metric, whereas F1-score was used as the main eval- uation metric.""",§3.1 Data and Preprocessing (PDF p. 2); §3.2 Feature Extraction (PDF p. 2); §3.3 Classification (PDF p. 2); §3.4 Evaluation Metric (PDF p. 2)
